[12/Sep/2020:11:54:27 +0000] 47.9.99.217 nginx to 172.105.63.71:5001 [GET /login HTTP/1.1] request_time 0.007 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:54:28 +0000] 47.9.99.217 nginx to - [GET /static/main.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:54:28 +0000] 47.9.99.217 nginx to - [GET /static/effects.js HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:54:32 +0000] 157.49.200.155 nginx to 172.105.63.71:5002 [GET / HTTP/1.1] request_time 0.010 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:54:32 +0000] 47.9.99.217 nginx to 127.0.0.1:5002 [GET /favicon.ico HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:54:58 +0000] 47.9.99.217 nginx to [::1]:5002, 172.105.63.71:5000 [POST /login HTTP/1.1] request_time 0.800 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:54:58 +0000] 47.9.99.217 nginx to [::1]:5000, [::1]:5001, 127.0.0.1:5000 [GET / HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:54:58 +0000] 47.9.99.217 nginx to - [GET /static/login.css HTTP/1.1] request_time 0.000 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:55:06 +0000] 157.49.162.224 nginx to 127.0.0.1:5001 [POST /check-repo/ HTTP/1.1] request_time 1.199 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:55:06 +0000] 157.49.162.224 nginx to 172.105.63.71:5001 [GET / HTTP/1.1] request_time 0.009 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:55:17 +0000] 47.9.99.217 nginx to 172.105.63.71:5002 [POST /check-repo/ HTTP/1.1] request_time 0.886 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:55:17 +0000] 47.9.99.217 nginx to 127.0.0.1:5002 [GET / HTTP/1.1] request_time 0.003 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
[12/Sep/2020:11:55:21 +0000] 157.49.162.224 nginx to 172.105.63.71:5000 [POST /check-commit-web/ HTTP/1.1] request_time 0.416 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36
